neighbourhood_cleansed,month,avg_monthly_price,listing_count
Chinatown,8,6809.03,124.0
Chinatown,9,7231.78,118.0
Chinatown,10,6967.83,115.0
Chinatown,11,6662.66,124.0
Chinatown,12,6747.92,130.0
City Island,1,3687.0,10.0
City Island,2,3777.0,10.0
City Island,3,3822.0,10.0
City Island,4,3711.43,7.0
City Island,5,3711.43,7.0
City Island,6,3696.67,9.0
City Island,7,3696.67,9.0
City Island,8,3740.0,9.0
City Island,9,3736.67,9.0
City Island,10,3736.67,9.0
City Island,11,3736.67,9.0
City Island,12,4148.18,11.0
Civic Center,1,7837.5,4.0
Civic Center,2,7105.0,6.0
Civic Center,3,7530.0,5.0
Civic Center,4,8274.0,5.0
Civic Center,5,20670.0,5.0
Civic Center,6,17892.0,5.0
Civic Center,7,9517.5,4.0
Civic Center,8,8040.0,4.0
Civic Center,9,8880.0,3.0
Civic Center,10,9954.0,5.0
Civic Center,11,8820.0,3.0
Civic Center,12,10638.0,5.0
Claremont Village,1,2721.56,32.0
Claremont Village,2,2780.91,33.0
Claremont Village,3,2801.84,38.0
Claremont Village,4,3329.27,41.0
Claremont Village,5,3027.57,37.0
Claremont Village,6,2820.81,37.0
Claremont Village,7,2638.29,35.0
Claremont Village,8,2826.18,34.0
Claremont Village,9,2777.0,30.0
Claremont Village,10,2862.73,33.0
Claremont Village,11,2781.56,32.0
Claremont Village,12,2510.62,32.0
Clason Point,1,3005.77,26.0
Clason Point,2,2572.17,23.0
Clason Point,3,3141.92,26.0
Clason Point,4,2971.88,32.0
Clason Point,5,2992.76,29.0
Clason Point,6,3013.0,30.0
Clason Point,7,3006.0,30.0
Clason Point,8,3057.1,31.0
Clason Point,9,3044.52,31.0
Clason Point,10,3067.78,27.0
Clason Point,11,3082.22,27.0
Clason Point,12,3016.15,26.0
Clifton,1,3216.0,5.0
Clifton,2,2982.0,5.0
Clifton,3,2940.0,5.0
Clifton,4,4447.5,8.0
Clifton,5,4455.0,8.0
Clifton,6,4180.0,6.0
Clifton,7,3534.0,5.0
Clifton,8,3280.0,6.0
Clifton,9,3085.0,6.0
Clifton,10,3045.0,6.0
Clifton,11,3025.0,6.0
Clifton,12,3865.0,6.0
Clinton Hill,1,5915.51,158.0
Clinton Hill,2,6216.84,158.0
Clinton Hill,3,6910.14,145.0
Clinton Hill,4,6536.87,134.0
Clinton Hill,5,6792.77,141.0
Clinton Hill,6,7036.29,140.0
Clinton Hill,7,6485.92,147.0
Clinton Hill,8,6705.81,148.0
Clinton Hill,9,5363.01,103.0
Clinton Hill,10,6706.11,149.0
Clinton Hill,11,6304.83,149.0
Clinton Hill,12,6074.82,168.0
Co-op City,1,1658.57,7.0
Co-op City,2,1836.0,5.0
Co-op City,3,1710.0,6.0
Co-op City,4,1954.29,7.0
Co-op City,5,2678.57,7.0
Co-op City,6,2142.86,7.0
Co-op City,7,2284.29,7.0
Co-op City,8,2344.29,7.0
Co-op City,9,1615.71,7.0
Co-op City,10,1645.71,7.0
Co-op City,11,1585.71,7.0
Co-op City,12,1585.71,7.0
Cobble Hill,1,8530.38,26.0
Cobble Hill,2,7884.0,25.0
Cobble Hill,3,8724.78,23.0
Cobble Hill,4,8292.86,28.0
Cobble Hill,5,7512.58,31.0
Cobble Hill,6,7951.0,30.0
Cobble Hill,7,8870.77,26.0
Cobble Hill,8,8715.0,26.0
Cobble Hill,9,9236.54,26.0
Cobble Hill,10,8592.22,27.0
Cobble Hill,11,8260.34,29.0
Cobble Hill,12,8516.67,27.0
College Point,1,4590.0,21.0
College Point,2,3130.71,14.0
College Point,3,4338.57,21.0
College Point,4,3622.22,27.0
College Point,5,3960.0,21.0
College Point,6,3666.92,26.0
College Point,7,3720.0,26.0
College Point,8,3741.6,25.0
College Point,9,3816.25,24.0
College Point,10,3886.8,25.0
College Point,11,4320.0,25.0
College Point,12,4293.6,25.0
Columbia St,1,7260.0,7.0
Columbia St,2,9006.0,5.0
Columbia St,3,10305.0,4.0
Columbia St,4,6317.14,7.0
Columbia St,5,6342.86,7.0
Columbia St,6,6800.0,6.0
Columbia St,7,7410.0,5.0
Columbia St,8,7950.0,5.0
Columbia St,9,6835.71,7.0
Columbia St,10,7400.0,6.0
Columbia St,11,7400.0,6.0
Columbia St,12,7065.0,8.0
Concord,1,3882.0,5.0
Concord,2,3972.0,5.0
Concord,3,3952.5,4.0
Concord,4,3666.0,5.0
Concord,5,3786.0,5.0
Concord,6,3786.0,5.0
Concord,7,4002.0,5.0
Concord,8,3882.0,5.0
Concord,9,3882.0,5.0
Concord,10,3882.0,5.0
Concord,11,3882.0,5.0
Concord,12,3882.0,5.0
Concourse,1,3040.43,23.0
Concourse,2,3037.5,24.0
Concourse,3,3240.0,23.0
Concourse,4,2948.75,24.0
Concourse,5,2753.08,26.0
Concourse,6,2960.4,25.0
Concourse,7,3057.69,26.0
Concourse,8,3196.25,24.0
Concourse,9,3100.5,20.0
Concourse,10,2948.4,25.0
Concourse,11,2926.96,23.0
Concourse,12,3141.82,22.0
Concourse Village,1,3395.29,17.0
Concourse Village,2,3405.0,18.0
Concourse Village,3,3165.79,19.0
Concourse Village,4,3106.36,22.0
Concourse Village,5,3094.5,20.0
Concourse Village,6,3315.79,19.0
Concourse Village,7,3237.0,20.0
Concourse Village,8,3295.5,20.0
Concourse Village,9,3394.74,19.0
Concourse Village,10,3480.0,17.0
Concourse Village,11,3388.24,17.0
Concourse Village,12,3739.09,22.0
Coney Island,1,2878.12,16.0
Coney Island,2,2775.88,17.0
Coney Island,3,2978.82,17.0
Coney Island,4,2859.38,16.0
Coney Island,5,2788.0,15.0
Coney Island,6,2928.0,15.0
Coney Island,7,2877.86,14.0
Coney Island,8,2900.62,16.0
Coney Island,9,2880.0,16.0
Coney Island,10,2878.12,16.0
Coney Island,11,2874.38,16.0
Coney Island,12,2814.0,15.0
Corona,1,2702.43,37.0
Corona,2,3571.76,34.0
Corona,3,3427.06,34.0
Corona,4,2709.17,36.0
Corona,5,2755.83,36.0
Corona,6,2518.29,35.0
Corona,7,2623.71,35.0
Corona,8,2549.19,37.0
Corona,9,2587.69,39.0
Corona,10,2559.23,39.0
Corona,11,2555.0,42.0
Corona,12,2756.92,39.0
Country Club,1,3600.0,1.0
Country Club,2,3600.0,1.0
Country Club,3,3600.0,1.0
Country Club,4,7560.0,1.0
Country Club,5,5220.0,2.0
Country Club,6,5220.0,2.0
Country Club,7,5220.0,2.0
Country Club,8,5220.0,2.0
Country Club,9,5220.0,2.0
Country Club,10,5220.0,2.0
Country Club,11,5220.0,2.0
Country Club,12,3600.0,1.0
Crown Heights,1,4526.13,543.0
Crown Heights,2,4477.3,555.0
Crown Heights,3,4569.09,472.0
Crown Heights,4,4001.0,570.0
Crown Heights,5,4129.3,558.0
Crown Heights,6,3838.2,532.0
Crown Heights,7,3891.43,511.0
Crown Heights,8,4448.33,486.0
Crown Heights,9,4524.96,554.0
Crown Heights,10,4587.21,549.0
Crown Heights,11,4617.26,548.0
Crown Heights,12,4647.75,561.0
Cypress Hills,1,2783.33,99.0
Cypress Hills,2,2734.29,98.0
Cypress Hills,3,2658.9,100.0
Cypress Hills,4,2952.1,119.0
Cypress Hills,5,2992.78,108.0
Cypress Hills,6,2904.0,115.0
Cypress Hills,7,2946.06,109.0
Cypress Hills,8,2847.35,113.0
Cypress Hills,9,2812.72,103.0
Cypress Hills,10,2818.83,103.0
Cypress Hills,11,2774.39,98.0
Cypress Hills,12,2902.43,103.0
DUMBO,1,8492.31,13.0
DUMBO,2,8346.0,15.0
DUMBO,3,9615.0,12.0
DUMBO,4,9698.0,15.0
DUMBO,5,10042.5,12.0
DUMBO,6,10335.0,14.0
DUMBO,7,10288.0,15.0
DUMBO,8,10058.0,15.0
DUMBO,9,9651.43,14.0
DUMBO,10,9842.14,14.0
DUMBO,11,8115.0,16.0
DUMBO,12,7644.38,16.0
Ditmars Steinway,1,3512.17,83.0
Ditmars Steinway,2,3813.96,91.0
Ditmars Steinway,3,2913.66,82.0
Ditmars Steinway,4,3481.14,105.0
Ditmars Steinway,5,3575.66,106.0
Ditmars Steinway,6,3658.27,104.0
Ditmars Steinway,7,3716.29,105.0
Ditmars Steinway,8,3764.71,102.0
Ditmars Steinway,9,3302.02,89.0
Ditmars Steinway,10,4055.82,98.0
Ditmars Steinway,11,3819.0,90.0
Ditmars Steinway,12,3700.52,97.0
Dongan Hills,1,4980.0,3.0
Dongan Hills,2,4980.0,3.0
Dongan Hills,3,4980.0,3.0
Dongan Hills,4,4440.0,3.0
Dongan Hills,5,4480.0,3.0
Dongan Hills,6,6480.0,2.0
Dongan Hills,7,4940.0,3.0
Dongan Hills,8,4920.0,3.0
Dongan Hills,9,4900.0,3.0
Dongan Hills,10,4940.0,3.0
Dongan Hills,11,4940.0,3.0
Dongan Hills,12,5020.0,3.0
Douglaston,1,4050.0,2.0
Douglaston,2,4050.0,2.0
Douglaston,3,2467.5,4.0
Douglaston,4,5100.0,3.0
Douglaston,5,5100.0,3.0
Douglaston,6,5100.0,3.0
Douglaston,7,4245.0,4.0
Douglaston,8,3900.0,2.0
Douglaston,9,3900.0,2.0
Douglaston,10,3900.0,2.0
Douglaston,11,3900.0,2.0
Douglaston,12,4050.0,2.0
Downtown Brooklyn,1,7540.0,30.0
Downtown Brooklyn,2,7445.36,28.0
Downtown Brooklyn,3,8386.55,29.0
Downtown Brooklyn,4,7743.0,20.0
Downtown Brooklyn,5,8232.27,22.0
Downtown Brooklyn,6,8522.4,25.0
Downtown Brooklyn,7,7960.38,26.0
Downtown Brooklyn,8,8278.7,23.0
Downtown Brooklyn,9,8178.0,20.0
Downtown Brooklyn,10,8302.5,24.0
Downtown Brooklyn,11,7658.75,24.0
Downtown Brooklyn,12,7013.57,28.0
Dyker Heights,1,3275.45,11.0
Dyker Heights,2,3294.55,11.0
Dyker Heights,3,3323.33,9.0
Dyker Heights,4,3060.0,11.0
Dyker Heights,5,3076.67,9.0
Dyker Heights,6,3242.73,11.0
Dyker Heights,7,3278.18,11.0
Dyker Heights,8,3032.5,12.0
Dyker Heights,9,3022.5,12.0
Dyker Heights,10,3057.5,12.0
Dyker Heights,11,3237.27,11.0
Dyker Heights,12,3259.09,11.0
East Elmhurst,1,3968.3,112.0
East Elmhurst,2,3562.09,91.0
East Elmhurst,3,3370.97,93.0
East Elmhurst,4,4039.49,137.0
East Elmhurst,5,3901.32,136.0
East Elmhurst,6,4214.74,114.0
East Elmhurst,7,4253.5,120.0
East Elmhurst,8,4310.17,116.0
East Elmhurst,9,4178.04,112.0
East Elmhurst,10,3995.84,113.0
East Elmhurst,11,4077.27,110.0
East Elmhurst,12,4676.87,115.0
